Run,LibraryLayout,condition,name,Input
SRR8591880,PAIRED,Cbfb_NAV-CD8,Cbfb-NAV_1,input_Cbfb-NAV
SRR8591881,PAIRED,Cbfb_NAV-CD8,Cbfb-NAV_2,input_Cbfb-NAV
SRR8591882,PAIRED,Cbfb_NAV-CD8,Cbfb-NAV_3,input_Cbfb-NAV
SRR8591883,PAIRED,Cbfb_NAV-CD8,Cbfb-NAV_4,input_Cbfb-NAV
SRR8591884,PAIRED,input_Cbfb_NAV-CD8,input_Cbfb-NAV_1,
SRR8591885,PAIRED,Cbfb_LCMV-d07-CD8,Cbfb-d07_1,input_Cbfb-d07
SRR8591886,PAIRED,Cbfb_LCMV-d07-CD8,Cbfb-d07_2,input_Cbfb-d07
SRR8591887,PAIRED,Cbfb_LCMV-d07-CD8,Cbfb-d07_3,input_Cbfb-d07
SRR8591888,PAIRED,Cbfb_LCMV-d07-CD8,Cbfb-d07_4,input_Cbfb-d07
SRR8591889,PAIRED,Cbfb_LCMV-d07-CD8,Cbfb-d07_5,input_Cbfb-d07
SRR8591890,PAIRED,input_Cbfb_LCMV-d07-CD8,input_Cbfb-d07_1,
SRR8591891,PAIRED,Eomes_LCMV-d07-CD8,Eomes-d07_1,input_Eomes-d07
SRR8591892,PAIRED,Eomes_LCMV-d07-CD8,Eomes-d07_2,input_Eomes-d07
SRR8591893,PAIRED,Eomes_LCMV-d07-CD8,Eomes-d07_3,input_Eomes-d07
SRR8591894,PAIRED,input_Eomes_LCMV-d07-CD8,input_Eomes-d07_1,
SRR8591895,PAIRED,Tbet_LCMV-d07-CD8,Tbet-d07_1,input_Tbet-d07
SRR8591896,PAIRED,Tbet_LCMV-d07-CD8,Tbet-d07_2,input_Tbet-d07
SRR8591897,PAIRED,input_Tbet_LCMV-d07-CD8,input_Tbet-d07_1,